count,dept_name,title
2819,Customer Service,Senior Staff
843,Customer Service,Staff
12308,Development,Senior Engineer
4435,Development,Engineer
1684,Development,Technique Leader
517,Development,Assistant Engineer
329,Development,Senior Staff
118,Development,Staff
3226,Finance,Senior Staff
973,Finance,Staff
2825,Human Resources,Senior Staff
881,Human Resources,Staff
3701,Marketing,Senior Staff
1115,Marketing,Staff
11256,Production,Senior Engineer
3975,Production,Engineer
1597,Production,Technique Leader
467,Production,Assistant Engineer
390,Production,Senior Staff
99,Production,Staff
2352,Quality Management,Senior Engineer
875,Quality Management,Engineer
322,Quality Management,Technique Leader
106,Quality Management,Assistant Engineer
2834,Research,Senior Staff
880,Research,Staff
1,Research,Manager
8802,Sales,Senior Staff
2727,Sales,Staff
1,Sales,Manager
